paper_name,paper_authors,source_name,keywords,pmc_technique,pmc_criteria,vms_technique,vms_criteria,vmp_technique,vmp_criteria,experiment_type,experiment_platform,scenario_pms,scenario_vms,scenario_dataset,used_metrics,improved_metrics,vms_amount,contribution,reference_number
DTFA: A Dynamic Threshold-based Fuzzy Approach for Power-efficient VM Consolidation,Deafallah Alsadie; Eidah Alzahrani; Nasrin Sohrabi; Zahir Tari; Albert Zomaya,2018 IEEE 17th International Symposium on Network Computing and Applications (NCA),Cloud computing; energy efficiency; virtualization; dynamic VM consolidation; fuzzy inference system,Dynamic Threshold + Prediction Model (ARIMA),CPU,Not Available,Not Available,Not Available,Not Available,Simulation,CloudSim,"{
 ""Number of PMs"": -1,
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1160, 2660],
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": [1049, 1495, 1065],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [2500, 2000, 1000, 500],
 ""Amount of RAM (in MB)"": [150, 3750, 1700, 613],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Energy-SLA Violation (ESV),Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Energy-SLA Violation (ESV),Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",Not Available,PMC,1
Sharing with live migration energy optimization scheduler for cloud computing data centers,Samah Alsahathri; Bogdan Ghita; Nathan Clarke,Future Internet,cloud computing; scheduling algorithm; green computing; energy optimization; virtualization; simulation,Static Threshold,CPU,Not Available,Not Available,Heuristic (SLM),"CPU, Waiting Time",Simulation,CloudSim,"{
 ""Number of PMs"": [6],
 ""Number of PM Types"": 1,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [4],
 ""Frequency of CPU (in MIPS)"": [10000],
 ""Amount of RAM (in GB)"": [8],
 ""Amount of Storage (in GB)"": [2000],
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [60],
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in MB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Not available,"Energy Consumption,Makespan","Energy Consumption,Makespan",Not Available,VMP,2
"Data analytics for energy-efficient clouds: design, implementation and evaluation",Albino Altomare; Eugenio Cesario; Andrea Vinci,"International Journal of Parallel, Emergent and Distributed Systems",Green computing; energy-aware clouds; data mining for energy efficiency,Static Threshold + Prediction Model (J48 + JRip + RF),"CPU, RAM",Not Available,Not Available,Not Available,Not Available,Simulation,Not available,"{
 ""Number of PMs"": [10],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [8],
 ""Frequency of CPU (in MIPS)"": [3000],
 ""Amount of RAM (in GB)"": [32, 24],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [75],
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in MB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Authors' own,"Energy Consumption,Number of SLA Violations,Number of VM Migrations,Resource Utilization","Energy Consumption,Number of SLA Violations,Number of VM Migrations",Not Available,PMC,3
New six-phase on-line resource management process for energy and SLA efficient consolidation in cloud data centers,Ehsan Arianyan; Hassan Taheri; Saeed Sharifian; Mohsen Tarighi,The International Arab Journal of Information Technology,Cloud computing; virtual machine; energy consumption; migration; cloudSim,Prediction Model (WMA),"CPU, RAM, Bandwidth",Minimum Migration Time (MMT),"RAM, Bandwidth",Multi-Criteria-Decision-Making (TOPSIS),Not Available,Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [1052, 898, 1061, 1516, 1078, 1463, 1358, 1233, 1054, 1033],
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [613, 1740, 3750, 870],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Energy-SLA Violation (ESV),Execution Time,Minimization of energy SLA violation and number of VMs migrations (ESM),Multi Parameter SLA Violation (MPSV),Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy-SLA Violation (ESV),Minimization of energy SLA violation and number of VMs migrations (ESM),Multi Parameter SLA Violation (MPSV),Number of VM Migrations",VMs are selected individually,PMC + VMS + VMP,4
Threshold Scheme Approach to Balance Virtual Machines Load in Private Cloud,Hamdani Arif; Prasan Sahoo,2018 International Conference on Applied Engineering (ICAE),scheduling; load balancing; cloud computing; virtual machines,Static Threshold,CPU,High CPU Utilization Based Migration (HS),CPU,Heuristic (MFFD),CPU,Simulation,CloudSim,"{
 ""Number of PMs"": -1,
 ""Number of PM Types"": -1,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": -1,
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in MB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Not available,"Completion Time,Energy Consumption,Load Balancing,Makespan,Resource Utilization","Energy Consumption,Load Balancing,Makespan",VMs are selected individually,VMP,5
Energy-Aware Virtual Machine Consolidation Algorithm Based on Ant Colony System,Azra Aryania; Hadi Aghdasi; Leyli Khanli,Journal of Grid Computing,Virtual machine consolidation; Virtual machine migration; Ant colony system; Energy consumption; Cloud computing,Not Available,Not Available,Not Available,Not Available,Metaheuristic (ACS),"CPU, RAM",Simulation,Not available,"{
 ""Number of PMs"": [200],
 ""Number of PM Types"": 1,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [200],
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in MB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Synthetical,"Energy Consumption,Migration Energy Consumption,Number of Sleeping PMs,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Migration Energy Consumption,Number of Sleeping PMs,Number of VM Migrations,SLA Violation (SLAV)",Not Available,VMP,7
An Energy Aware Policy for Mapping and Migrating Virtual Machines in Cloud Environment Using Migration Factor,Vinayak Bajoria;Avita Katal;Yash Agarwal,"2018 8th International Conference on Cloud Computing, Data Science & Engineering (Confluence)",Cloud Computing;Cloud Service Provider;Virtual Machine;Data centre;Server;Host;Migration Factor,Clustering (kM),"Java Operations, Heap Memory",Migration Factor (MF),"Java Operations, Heap Memory",Heuristic (CBS),"RAM, Processing Elements, Bandwidth",Simulation,Not available,"{
 ""Number of PMs"": [14],
 ""Number of PM Types"": -1,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [56],
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in MB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Not available,Energy Consumption,Energy Consumption,VMs are selected individually,PMC + VMS + VMP,11
Enhanced cuckoo search algorithm for virtual machine placement in cloud data centres,Esha Barlaskar; Yumnam Singh; Biju Issac,International Journal of Grid and Utility Computing,virtual machine placement; meta-heuristic algorithms; enhanced cuckoo search algorithm; cloud computing,Static Threshold + Dynamic Threshold + Prediction Model (LR + LRR),CPU,Maximum Correlation (MC) + Minimum Migration Time (MMT) + Minimum Utilization (MU) + Random Selection (RS),"CPU, RAM, Bandwidth",Metaheuristic (ECS),"Power Consumption, Processing Elements, RAM, Bandwidth",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": [1052, 1516, 1078],
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in MB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Energy-SLAV-Migration,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Number of VM Migrations,SLA Violation (SLAV)",VMs are selected individually,VMP,13
Power-network aware VM migration heuristics for multi-tier web applications,Amir Hossein Borhani; Terence Hung; Bu-Sung Lee; Zheng Qin,Cluster Computing,Resource management; Energy efficiency and management; Service level agreement; Multi-tier web applications; Network-aware VM migration; Energy-aware VM migration,Static Threshold + Dynamic Threshold,CPU,Power and Network Gain (PNG),"Energy Consumption, Bandwidth",Heuristic (MBFD),Not Available,Simulation,CloudSim,"{
 ""Number of PMs"": [28],
 ""Number of PM Types"": 3,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [1860, 2833, 2400],
 ""Amount of RAM (in GB)"": [16, 8, 4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": -1,
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in MB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Average Traffic Gain,Completion Time,Energy Consumption,SLA Violation Time per Active Host (SLATAH),Time Overloaded","Completion Time,Energy Consumption,SLA Violation (SLAV)",VMs are selected individually,PMC + VMS,20
Optimizing power consumption in cloud computing based on optimization and predictive analysis,Dinh-Mao Bui; Eui-Nam Huh; Sungyoung Lee,IMCOM '18: Proceedings of the 12th International Conference on Ubiquitous Information Management and Communication,IaaS; Cloud Computing; Predictive Analysis; Convex Optimization; Energy Efficiency,Prediction Model (GPR),CPU,Not Available,Not Available,Exact (CO),"CPU, Average Latency of Task Processing",Real,Not available,"{
 ""Number of PMs"": [16],
 ""Number of PM Types"": 1,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [2400],
 ""Amount of RAM (in GB)"": [12],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": -1,
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in MB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Google Cluster Data,"Energy Consumption,Latency,Number of Active PMs","Energy Consumption,Number of Active PMs",Not Available,PMC,21
