title,qa1,qa2,qa3,qa4,qa5,qa6,qa7,qa8,qa9,qa10,score
A prediction-based and power-aware virtual machine allocation algorithm in three-tier cloud data centers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partially,Yes,Yes,9.5
DTFA: A Dynamic Threshold-based Fuzzy Approach for Power-efficient VM Consolidation,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,8
Virtual machine migration algorithm for energy efficiency optimization in cloud computing,Yes,Partially,Yes,Yes,Yes,Yes,No,No,No,Yes,6.5
Linear and Logistic Regression Based Monitoring for Resource Management in Cloud Networks,Yes,Yes,Yes,Yes,Yes,Yes,Partially,Yes,Yes,Yes,9.5
Energy-Aware Virtual Machine Consolidation Algorithm Based on Ant Colony System,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Partially,Yes,7.5
Resource scheduling method based on bayes for cloud computing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partially,No,Yes,8.5
Best Fit Sharing and Power Aware (BFSPA) Algorithm for VM placement in cloud environment,Yes,Partially,No,No,Yes,Yes,Yes,No,Partially,Yes,6
Host Overloading Detection Based on EWMA Algorithm in Cloud Computing Environment,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,8
Boosting energy efficiency and quality of service through orchestration tools,Yes,Yes,No,No,Yes,Yes,Yes,Partially,Partially,No,6
A Feasibility Study on Sustainability-Driven Infrastructure Management in Cloud Data Centers,Yes,Partially,Yes,Yes,Yes,Yes,No,No,No,Yes,6.5
Dynamic Tuning for Parameter-Based Virtual Machine Placement,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partially,No,8.5
A Novel Green Service Level Agreement for Cloud Computing using Fuzzy Logic,Yes,Yes,Yes,No,No,Yes,Partially,Partially,Partially,No,5.5
Dynamie management of data center resources using reinforcement learning,Yes,Yes,Partially,Yes,Yes,Yes,No,No,No,No,5.5
Research on virtual machine migration algorithm for cloud data center,Yes,Partially,Yes,No,Yes,Yes,No,Yes,Yes,Yes,7.5
Optimizing power consumption in cloud computing based on optimization and predictive analysis,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,8
A QoS-Guaranteed Energy-Efficient VM Dynamic Migration Strategy in Cloud Data Centers,Yes,Partially,Yes,Yes,Yes,Yes,Partially,Partially,Partially,Yes,8
An Energy Aware Policy for Mapping and Migrating Virtual Machines in Cloud Environment Using Migration Factor,Yes,Partially,Yes,Yes,Yes,Yes,No,Partially,Partially,No,6.5
Consolidating VMs in Green Cloud Computing Using Harmony Search Algorithm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Migration and Cooling Aware Approach for Virtual Machine Spreading in Data Centers,Yes,Yes,No,Yes,Yes,Yes,Yes,Partially,Yes,Yes,8.5
Threshold Scheme Approach to Balance Virtual Machines Load in Private Cloud,Yes,Partially,Yes,Yes,Yes,Yes,No,No,No,Yes,6.5
Energy-efficient algorithm for load balancing and VMs reassignment in data centers,Yes,No,Yes,Yes,Yes,Yes,Yes,Partially,Partially,Yes,8
Energy proportionality in near-threshold computing servers and cloud data centers: Consolidating or Not?,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Partially,5.5
CoolCloudSim: Integrating cooling system models in CloudSim,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,9
Priority-aware Virtual Machine selection algorithm in dynamic consolidation,Yes,Partially,Yes,Yes,Yes,Partially,Yes,Partially,Partially,Yes,8
QoS-aware VM placement and migration for hybrid cloud infrastructure,Yes,Yes,Partially,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9.5
Power and resource-aware virtual machine placement for IaaS cloud,Yes,Yes,Yes,No,Yes,Yes,Partially,Partially,Partially,Partially,7
Optimizing the Energy Efficient VM Consolidation by a Multi-Objective Algorithm,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,8
Sharing with live migration energy optimization scheduler for cloud computing data centers,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,7
Adaptive selection of dynamic VM consolidation algorithm using neural network for cloud resource management,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,8
Multi-objective Energy Efficient Resource Allocation Using Virus Colony Search (VCS) Algorithm,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,8
