author,title,year,source
Y. Liu; X. Sun; W. Wei; W. Jing,enhancing energy-efficient and qos dynamic virtual machine consolidation method in cloud environment,2018,IEEE Access
T. Badraa; K. Kinoshita,an energy efficient non-live virtual machine migration,2018,2018 IEEE 7th International Conference on Cloud Networking (CloudNet)
N. K. Sharma; P. Sharma; R. M. R. Guddeti,energy efficient quality of service aware virtual machine migration in cloud computing,2018,2018 4th International Conference on Recent Advances in Information Technology (RAIT)
H. Cao; H. Sun; M. Sheng; Y. Shi; J. Li,a qos-guaranteed energy-efficient vm dynamic migration strategy in cloud data centers,2018,2018 10th International Conference on Wireless Communications and Signal Processing (WCSP)
H. Wang; H. Tianfield,energy-aware dynamic virtual machine consolidation for cloud datacenters,2018,IEEE Access
A. Pahlevan; X. Qu; M. Zapater; D. Atienza,integrating heuristic and machine-learning methods for efficient virtual machine allocation in data centers,2018,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems
P. C. Nayak; D. Garg; A. k. Shakva; P. Saini,a research paper of existing live vm migration and a hybrid vm migration approach in cloud computing,2018,2018 2nd International Conference on Trends in Electronics and Informatics (ICOEI)
R. Yadav; W. Zhang; O. Kaiwartya; P. R. Singh; I. A. Elgendy; Y. Tian,adaptive energy-aware algorithms for minimizing energy consumption and sla violation in cloud computing,2018,IEEE Access
S. N. Mthunzi; E. Benkhelifa; M. A. Alsmirat; Y. Jararweh,analysis of vm communication for vm-based cloud security systems,2018,2018 Fifth International Conference on Software Defined Systems (SDS)
K. D. Rathod; M. R. Desai,a novel approach for resource provisioning in cloud using load comfort index and vm demand: a preview,2018,2018 3rd International Conference for Convergence in Technology (I2CT)
K. P. N. Jayasena; L. Li; M. A. Elaziz; S. Xiong; J. Xiang,optimizing the energy efficient vm consolidation by a multi-objective algorithm,2018,2018 IEEE 22nd International Conference on Computer Supported Cooperative Work in Design ((CSCWD))
