"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2905136","Mili  Patel and Hiren  Patel and Nimisha  Patel","","","","Usage of Hybrid Mechanisms to Reduce Energy Consumption While Preserving Green SLA in Cloud Environment","77:1--77:6","77","6","Energy efficiency, Green Cloud Computing, Quality of Service (QoS), Resource Allocation, Service Level Agreement (SLA), VM Consolidation","10.1145/2905055.2905136","","","","","","","2016","","Proceedings of the Second International Conference on Information and Communication Technology for Competitive Strategies","ICTCS '16","","978-1-4503-3962-9","Udaipur, India","ACM","New York, NY, USA"
"article","2801989","Dimitra  Panagiotou and Efthymios  Oikonomou and Angelos  Rouskas","","","","Energy-efficient Virtual Machine Provisioning Mechanism in Cloud Computing Environments","197--202","","6","CloudSim, VM migration, VM provisioning, cloud computing, data center, data centers, energy consumption, energy efficiency, migration, quality of service, service level agreement, virtualization","10.1145/2801948.2801989","","","","","","","2015","","Proceedings of the 19th Panhellenic Conference on Informatics","PCI '15","","978-1-4503-3551-5","Athens, Greece","ACM","New York, NY, USA"
"article","2797153","Efthymios  Oikonomou and Dimitra  Panagiotou and Angelos  Rouskas","","","","Energy-aware Management of Virtual Machines in Cloud Data Centers","35:1--35:6","35","6","CloudSim, Data centers, Quality of Service, Service Level Agreement, VM migration, VM provisioning, energy consumption","10.1145/2797143.2797153","","","","","","","2015","","Proceedings of the 16th International Conference on Engineering Applications of Neural Networks (INNS)","EANN '15","","978-1-4503-3580-5","Rhodes, Island, Greece","ACM","New York, NY, USA"
"article","2940688","Paul J. Kuehn","","","","Energy Effciency and Performance of Cloud Data Centers: Which Role Can Modeling Play?","8:1--8:6","8","6","VM migration, cloud data centers, load balancing, performance modeling, process migration, queuing systems, server consolidation, service level agreements","10.1145/2940679.2940688","","","","","","","2016","","Proceedings of the 5th International Workshop on Energy Efficient Data Centres","E2DC '16","","978-1-4503-4421-0","Waterloo, Ontario, Canada","ACM","New York, NY, USA"
"article","2310155","Hadi  Goudarzi and Mohammad  Ghasemazar and Massoud  Pedram","","","","SLA-based Optimization of Power and Migration Cost in Cloud Computing","172--179","","8","Cloud Computing, Virtual Machine Placement, Service Level Agreement, Energy Efficiency, Data center, Server Consolidation","10.1109/CCGrid.2012.112","","","","","","","2012","","Proceedings of the 2012 12th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (Ccgrid 2012)","CCGRID '12","","978-0-7695-4691-9","","IEEE Computer Society","Washington, DC, USA"
"article","3007895","Yatheendraprakash  Govindaraju and Hector  Duran-Limon","","","","A QoS and Energy Aware Load Balancing and Resource Allocation Framework for IaaS Cloud Providers","410--415","","6","energy efficiency, iaaS cloud, load balancing, resource allocation, service level agreement","10.1145/2996890.3007895","","","","","","","2016","","Proceedings of the 9th International Conference on Utility and Cloud Computing","UCC '16","","978-1-4503-4616-0","Shanghai, China","ACM","New York, NY, USA"
"article","1254886","Ravi  Iyer and Li  Zhao and Fei  Guo and Ramesh  Illikkal and Srihari  Makineni and Don  Newell and Yan  Solihin and Lisa  Hsu and Steve  Reinhardt","","","","QoS Policies and Architecture for Cache/Memory in CMP Platforms","25--36","","12","CMP, QoS, cache/memory, performance, quality of service, resource sharing priniciples, service level agreements","10.1145/1269899.1254886","SIGMETRICS Perform. Eval. Rev.","June 2007","35","1","","June","2007","0163-5999","","","","","","ACM","New York, NY, USA"
"article","1254886","Ravi  Iyer and Li  Zhao and Fei  Guo and Ramesh  Illikkal and Srihari  Makineni and Don  Newell and Yan  Solihin and Lisa  Hsu and Steve  Reinhardt","","","","QoS Policies and Architecture for Cache/Memory in CMP Platforms","25--36","","12","CMP, QoS, cache/memory, performance, quality of service, resource sharing priniciples, service level agreements","10.1145/1254882.1254886","","","","","","","2007","","Proceedings of the 2007 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems","SIGMETRICS '07","","978-1-59593-639-4","San Diego, California, USA","ACM","New York, NY, USA"
"article","1890803","Anton  Beloglazov and Rajkumar  Buyya","","","","Adaptive Threshold-based Approach for Energy-efficient Consolidation of Virtual Machines in Cloud Data Centers","4:1--4:6","4","6","VM placement, cloud computing, green IT","10.1145/1890799.1890803","","","","","","","2010","","Proceedings of the 8th International Workshop on Middleware for Grids, Clouds and e-Science","MGC '10","","978-1-4503-0453-5","Bangalore, India","ACM","New York, NY, USA"
"article","3084027","Paul J. Kueh and Maggie Ezzat Mashaly","","","","Load Balancing in Distributed Cloud Data Center Configurations: Performance and Energy-Efficiency","296--301","","6","Cloud Data Centers, Performance Analysis, Service Level Agreements, Task Modeling & Scheduling & Queuing, VM Migration","10.1145/3077839.3084027","","","","","","","2017","","Proceedings of the Eighth International Conference on Future Energy Systems","e-Energy '17","","978-1-4503-5036-5","Shatin, Hong Kong","ACM","New York, NY, USA"
"article","2208853","Damien  Borgetto and Michael  Maurer and Georges  Da-Costa and Jean-Marc  Pierson and Ivona  Brandic","","","","Energy-efficient and SLA-aware Management of IaaS Clouds","25:1--25:10","25","10","IaaS, algorithms, clouds, energy-efficiency, migration, reallocation, virtual machine","10.1145/2208828.2208853","","","","","","","2012","","Proceedings of the 3rd International Conference on Future Energy Systems: Where Energy, Computing and Communication Meet","e-Energy '12","","978-1-4503-1055-0","Madrid, Spain","ACM","New York, NY, USA"
"article","2184806","Seungmin  Kang and Shin-gyu  Kim and Hyeonsang  Eom and Heon Y. Yeom","","","","Towards Workload-aware Virtual Machine Consolidation on Cloud Platforms","45:1--45:4","45","4","cloud computing, last level cache contention, virtual machine consolidation","10.1145/2184751.2184806","","","","","","","2012","","Proceedings of the 6th International Conference on Ubiquitous Information Management and Communication","ICUIMC '12","","978-1-4503-1172-4","Kuala Lumpur, Malaysia","ACM","New York, NY, USA"
"article","3230369","Mohammad H. Fathi and Leyli M. Khanli","","","","Consolidating VMs in Green Cloud Computing Using Harmony Search Algorithm","146--151","","6","Cloud computing, VM consolidation, green computing, harmony search algorithm","10.1145/3230348.3230369","","","","","","","2018","","Proceedings of the 2018 International Conference on Internet and e-Business","ICIEB '18","","978-1-4503-6375-4","Singapore, Singapore","ACM","New York, NY, USA"
"article","2791446","Bela  Shrimali and Hiren  Patel","","","","Performance Based Energy Efficient Techniques For VM Allocation In Cloud Environment","477--486","","10","Cloud computing, Energy efficient, Performance, Virtual machine","10.1145/2791405.2791446","","","","","","","2015","","Proceedings of the Third International Symposium on Women in Computing and Informatics","WCI '15","","978-1-4503-3361-0","Kochi, India","ACM","New York, NY, USA"
"article","2760134","Dabiah Ahmed Alboaneen and Bernardi  Pranggono and Huaglory  Tianfield","","","","Energy-Aware Virtual Machine Consolidation for Cloud Data Centers","1010--1015","","6","virtual machine consolidation (VMC), energy-aware, energy-efficient, cloud data center","10.1109/UCC.2014.166","","","","","","","2014","","Proceedings of the 2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing","UCC '14","","978-1-4799-7881-6","","IEEE Computer Society","Washington, DC, USA"
"article","1247612","Piyush  Shivam and Azbayar  Demberel and Pradeep  Gunda and David  Irwin and Laura  Grit and Aydan  Yumerefendi and Shivnath  Babu and Jeff  Chase","","","","Automated and On-demand Provisioning of Virtual Machines for Database Applications","1079--1081","","3","active learning, modeling, virtual machines","10.1145/1247480.1247612","","","","","","","2007","","Proceedings of the 2007 ACM SIGMOD International Conference on Management of Data","SIGMOD '07","","978-1-59593-686-8","Beijing, China","ACM","New York, NY, USA"
"article","2760050","Edwin  Yaqub and Ramin  Yahyapour and Philipp  Wieder and Ali Imran Jehangiri and Kuan  Lu and Constantinos  Kotsokalis","","","","Metaheuristics-Based Planning and Optimization for SLA-Aware Resource Management in PaaS Clouds","288--297","","10","Cloud Computing, PaaS, Open Shift, Resource Allocation, Optimization, Service Consolidation, Service Migration, Service Level Agreement (SLA), SLA Violations","10.1109/UCC.2014.38","","","","","","","2014","","Proceedings of the 2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing","UCC '14","","978-1-4799-7881-6","","IEEE Computer Society","Washington, DC, USA"
"article","3217876","Saurav  Nanda and Thomas J. Hacker","","","","RACC: Resource-Aware Container Consolidation Using a Deep Learning Approach","2:1--2:5","2","5","Container Consolidation, Deep Learning, Quality of Service (QoS)","10.1145/3217871.3217876","","","","","","","2018","","Proceedings of the First Workshop on Machine Learning for Computing Systems","MLCS'18","","978-1-4503-5865-1","Tempe, AZ, USA","ACM","New York, NY, USA"
"article","2558079","Dong-Ki  Kang and Seong-Hwan  Kim and Chan-Hyun  Youn and Min  Chen","","","","Cost Adaptive Workflow Scheduling in Cloud Computing","65:1--65:8","65","8","cloud resource management, virtual machine allocation, workflow scheduling","10.1145/2557977.2558079","","","","","","","2014","","Proceedings of the 8th International Conference on Ubiquitous Information Management and Communication","ICUIMC '14","","978-1-4503-2644-5","Siem Reap, Cambodia","ACM","New York, NY, USA"
